gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,celltype,nlog10padj
Atp11a,42.664154,0.08549895230741177,0.24163119000758834,0.35384071197400757,0.7234582609917302,0.9355301709153098,Oligodendrocyte,0.02894220190983618
Atp11b,14.94029,-0.04142883998355326,0.3610564808101215,-0.1147433772427992,0.9086485309014856,0.9852931549934412,Oligodendrocyte,0.006434534320698973
Atp11c,8.833492,0.4864136807067107,0.4854487423289994,1.001987724539324,0.3163495216065868,0.7388233418116535,Oligodendrocyte,0.13145939225201367
Atp13a1,4.012523,-0.17450008968151187,0.7161824896618697,-0.24365310825163902,0.8074994931031932,0.9620537230942492,Oligodendrocyte,0.01680067537182617
Atp13a3,9.949761,-0.07825007917639344,0.4599644568378102,-0.17012201271887734,0.8649141822031374,0.9768713907200467,Oligodendrocyte,0.010162609236367392
Atp1a1,8.047249,-0.4653561877849156,0.490324781633889,-0.9490774384974555,0.342581228243133,0.757032761928652,Oligodendrocyte,0.12088532523315354
Atp1a3,2.9147065,-0.0920042221118564,0.6822048238747789,-0.13486304829873805,0.8927201557650761,0.9819766066487642,Oligodendrocyte,0.007898858164545912
Atp1b3,27.315193,0.5780676471605842,0.27527011485296693,2.1000014748035905,0.03572871139150345,0.24644371007052773,Oligodendrocyte,0.6082822617718707
Atp2a2,15.631806,0.5299515514507874,0.3469362663130464,1.5275184606172107,0.1266321403135041,0.5054062624780628,Oligodendrocyte,0.2963593810492355
Atp2b1,22.30465,0.20636560519608296,0.2674535109412126,0.7715943023886607,0.44035474988652856,0.8139599386122734,Oligodendrocyte,0.08939696964123761
Atp2b2,6.484721,0.06648297711687294,0.5654195108406739,0.11758168199400316,0.9063991198997697,0.9849440728735402,Oligodendrocyte,0.006588428925720295
Atp2c1,39.148247,-0.11746656953898096,0.22197776259832944,-0.529181698941338,0.5966794109022162,0.8919644436012651,Oligodendrocyte,0.049652457569554255
Atp5a1,5.8203626,0.6607916049492835,0.6125416874026334,1.0787700144152552,0.28069026518029927,0.7035691924920785,Oligodendrocyte,0.15269318545052726
Atp5c1,9.256221,0.417139081083831,0.4330691454523999,0.9632158870336336,0.3354391939891638,0.7548378697039466,Oligodendrocyte,0.1221463197009444
Atp5pb,5.202125,0.12421929042567065,0.6308059490823198,0.19692155821672522,0.8438889229727788,0.9743413435641273,Oligodendrocyte,0.011288868936568162
Atp6ap1,2.9020755,-0.35542650465142345,0.6130274077112724,-0.5797889297941872,0.5620569637892205,0.8745326825565848,Oligodendrocyte,0.05822395566643276
Atp6ap2,6.58803,0.09462661330594666,0.5442682878534394,0.17386023661078656,0.8619753032145174,0.9762867877131619,Oligodendrocyte,0.010422588044412076
Atp6v0a1,11.528,-0.6817211235969034,0.4150702126658237,-1.6424236256764646,0.10050224204260412,0.4425385812115371,Oligodendrocyte,0.35404886083764875
Atp6v0a2,5.78027,0.24103802004301347,0.5894565192060368,0.40891569130099276,0.6826015333155125,0.9187253297389646,Oligodendrocyte,0.03681430973314795
Atp6v0b,6.559879,-0.0012138643920447181,0.5460545082414714,-0.0022229729335151533,0.9982263256780665,0.9993156960429401,Oligodendrocyte,0.0002972911628602974
Atp6v0c,3.7078972,0.15153363068589373,0.5319709226468856,0.2848532207962041,0.775756596178403,0.9510079160491494,Oligodendrocyte,0.021815868044546393
Atp6v0d1,7.8530936,-0.956019672551818,0.39789335599498926,-2.4027032825445254,0.016274386430215608,0.14984164803315633,Oligodendrocyte,0.8243674590192994
Atp6v0e,5.011546,-0.8009808049838864,0.5452840228858922,-1.4689240310851766,0.14185339575698921,0.5284599166353936,Oligodendrocyte,0.27698794808075644
Atp6v1a,7.586317,0.6280852455568425,0.367209927038841,1.7104255612632386,0.08718720762549566,0.40998938256705875,Oligodendrocyte,0.38722738999305534
Atp6v1b2,8.373437,-0.15635519646971632,0.3545866245136341,-0.4409506328225992,0.6592487367893316,0.914553251047083,Oligodendrocyte,0.03879100209286616
Atp6v1c1,6.7673717,-0.2595021509987104,0.40197008333374723,-0.6455757822734566,0.5185541254352786,0.8622005974339475,Oligodendrocyte,0.06439168055174703
Atp6v1e1,4.046596,-0.04061827639343417,0.6712959607235112,-0.06050725577084732,0.9517516371706224,0.9946902193608017,Oligodendrocyte,0.0023121523895457876
Atp6v1h,10.70494,0.29603129129397693,0.30907011544607876,0.9578127308320218,0.33815719842829906,0.7559533141678199,Oligodendrocyte,0.12150502463816595
Atp7a,6.52839,0.16429795255182592,0.5511541133548046,0.2980980248006593,0.7656283490606584,0.9505818436614304,Oligodendrocyte,0.02201048508960496
Atp8a1,163.74422,-0.2735072561728417,0.08078077498909426,-3.385796387937183,0.0007097202183358045,0.014038723802694043,Oligodendrocyte,1.8526723701719554
Atp8a2,3.6572745,-1.2501958489181246,0.8838147453958124,-1.4145451356530945,0.1572019047119151,0.5568816173850164,Oligodendrocyte,0.2542371178976636
Atp8b1,28.031729,-1.311976126575114,0.24314143267574578,-5.395938125958029,6.816643629106962e-08,4.644406525964877e-06,Oligodendrocyte,5.333069773374408
Atp9a,27.087307,0.28752524374889604,0.2599742415865062,1.105975892050914,0.26873695416636345,0.6953649332208437,Oligodendrocyte,0.15778721427496498
Atp9b,27.723997,0.16286492125438357,0.2675091578552356,0.6088199841835659,0.5426437659039094,0.867975875940216,Oligodendrocyte,0.06149234520558102
Atpaf1,6.001464,0.061510096694311754,0.5723590177378705,0.10746768162650354,0.9144179631321095,0.9859699226175657,Oligodendrocyte,0.006136333172842171
Atpsckmt,5.3507442,0.6239887642056533,0.597110843774767,1.0450132847378413,0.29601682964363063,0.7227071045216898,Oligodendrocyte,0.14103767595945269
Atr,10.825555,-0.09258022029276029,0.4179214793461703,-0.22152539380746877,0.824683366313682,0.9676537317710483,Oligodendrocyte,0.014280024183892865
Atrip,2.9335327,-0.012308781941495152,0.7740726317944104,-0.01590132687285642,0.9873131114453937,0.9978546029464825,Oligodendrocyte,0.0009327350034429698
Atrn,53.478733,-0.09730809238439507,0.2549060138600676,-0.3817410617774323,0.7026534395736055,0.9285928645399459,Oligodendrocyte,0.032174657847136884
Atrnl1,4.946026,-0.29125700475506294,0.6174809181316063,-0.47168583870795194,0.6371510466167465,0.9076456217491905,Oligodendrocyte,0.042083682932568464
Atrx,68.39155,0.4719145820017492,0.19020583783814773,2.4810730699197383,0.013098751841933216,0.12913431880182394,Oligodendrocyte,0.8889583240730611
Atxn1,16.020552,-0.8215382836383819,0.27267578061279274,-3.0128758842905423,0.0025878473295113543,0.039181925492749695,Oligodendrocyte,1.4069142255559681
Atxn10,14.636355,-0.4027323382939338,0.27279031405611764,-1.4763439812275914,0.13985157287193908,0.5235679114562312,Oligodendrocyte,0.2810269784401033
Atxn2,27.57101,-0.7037573172404668,0.2697290887425657,-2.609126514760688,0.009077367522649761,0.09978893139570086,Oligodendrocyte,1.0009176280548946
Atxn2l,9.089509,0.09980036173586117,0.48162796923724227,0.20721463060776085,0.8358422417070002,0.9707967888553884,Oligodendrocyte,0.012871668871511857
Atxn3,5.5932307,-0.5120818658146341,0.5678700568612112,-0.9017588788622961,0.36718496819989954,0.7690659283086588,Oligodendrocyte,0.1140364286337286
Atxn7,12.278346,-0.18550160314849587,0.29448889996146566,-0.6299103401614427,0.5287532472678844,0.8651354812450907,Oligodendrocyte,0.06291587617704235
Atxn7l1,12.691904,-0.2955038366777851,0.4027395625834603,-0.7337343140122904,0.4631106808950677,0.8304924341741504,Oligodendrocyte,0.08066431963809466
Atxn7l3b,3.2077482,0.4740493087440663,0.8117330580206485,0.5839965541134924,0.5592226304052301,0.8742202533861726,Oligodendrocyte,0.05837913626782071
Auh,12.484546,-0.9945604099487334,0.41214533716546164,-2.413130321427009,0.01581616326573016,0.1471695191888579,Oligodendrocyte,0.8321821289851836
Aup1,2.7301028,-0.02281483895963554,0.8309307156428107,-0.02745696907110469,0.9780952606025918,0.9978546029464825,Oligodendrocyte,0.0009327350034429698
Auts2,190.04105,-0.428506505621404,0.16227311936895214,-2.640649956614999,0.00827471643368741,0.09294992584633613,Oligodendrocyte,1.0317509523637327
Aven,5.972518,-0.9428125624126956,0.6333430939909265,-1.4886284722419392,0.13658522975567727,0.5185102004365195,Oligodendrocyte,0.28524269549534825
Avl9,10.758873,0.18415695989478362,0.4269845843832319,0.431296507251646,0.6662527896576813,0.9161465299677878,Oligodendrocyte,0.03803505901003484
Axin1,7.0101137,-0.3841140437483704,0.5364446851625927,-0.7160366285145467,0.4739687320787648,0.8332217641665621,Oligodendrocyte,0.07923939458843737
Azi2,5.4809566,-0.2656075387965182,0.6201469714495494,-0.4282977278364828,0.6684343729738882,0.9161465299677878,Oligodendrocyte,0.03803505901003484
Azin1,4.6240215,0.3783992721555665,0.4614409392149225,0.8200383624378024,0.4121942381364547,0.7963835310572684,Oligodendrocyte,0.09887772961512642
B130055M24Rik,2.6302683,0.2357177602676777,0.8257960735871549,0.2854430625272281,0.7753047200224195,0.9510079160491494,Oligodendrocyte,0.021815868044546393
B230206H07Rik,9.92178,-2.4181621093934225,0.47987399199245045,-5.039160591623532,4.675780313219356e-07,2.7048948000623673e-05,Oligodendrocyte,4.567849620997653
B230206L02Rik,2.8668487,-1.3735118795845138,0.7543886769204569,-1.8206952484910344,0.0686531948656229,0.36135741709527863,Oligodendrocyte,0.4420630266786656
B230219D22Rik,3.6722393,-0.46711498127629664,0.699694147547514,-0.6675988114429331,0.504389716606731,0.8532907136961427,Oligodendrocyte,0.0689029807384708
B230307C23Rik,3.8337567,-0.7059965486407046,0.5832706318836258,-1.2104099024508492,0.2261216439966145,0.6489935774626117,Oligodendrocyte,0.18775960102143208
B230354K17Rik,2.9763982,0.07367647739047742,0.7885680199525437,0.09343071938792458,0.9255613867054339,0.98986315060776,Oligodendrocyte,0.004424842820670694
B3galnt2,2.7597966,-0.2669634695769632,0.8185532902977776,-0.3261406101975912,0.744317972826579,0.9416459272483149,Oligodendrocyte,0.02611236764116316
