gene_name,L_15_1,L_15_2,L_16_1,L_16_2,L_13_1,L_13_2,L_11_2,L_11_1,L_12_1,L_12_2
Hbq1b,121.08,131.29,135.8,133.75,121.97,95.38,35.28,31.79,101.96,97.15
9130019P16Rik,0.03,0.01,0.03,0.04,0.01,0.02,0.03,0.02,0.02,0.13
Mageb2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm8098,0.02,0.02,0.07,0.0,0.05,0.04,0.12,0.11,0.09,0.14
Gm7173,0.01,0.0,0.0,0.01,0.03,0.03,0.02,0.11,0.04,0.12
Srp54a,60.76,67.28,62.05,61.17,82.16,104.81,137.88,110.17,89.14,87.77
Cldn34b4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smim9,0.0,0.04,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0
Lrrc61,2.19,1.75,1.5,1.77,0.7,1.31,3.79,3.33,1.36,2.62
Drc1,1.32,1.26,1.57,1.69,1.55,1.54,1.22,1.26,1.33,1.45
Gm10466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olfr444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
