gene_name,TC_M_43_1,TC_M_43_2,TC_F_21_1,ATC_M_43_2,ATC_M_43_1,ATC_F_21_3,ATC_F_21_4,ATC_F_21_1,ATC_F_21_2
PGLYRP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFIX,2.03,1.67,2.54,1.2,1.15,0.89,0.93,1.25,1.31
ST3GAL1,65.9,67.68,65.34,79.58,85.81,41.76,46.94,47.07,47.07
MMP25,1.27,1.1,0.63,2.26,1.81,0.83,0.94,1.07,0.83
IL32,518.55,514.72,293.93,972.28,980.28,604.62,593.97,626.71,613.51
PKD1,36.57,43.69,39.71,41.33,43.05,36.23,37.55,39.85,38.7
MAPK8IP2,0.08,0.23,0.05,0.26,0.32,0.34,0.26,0.23,0.25
MED24,37.2,37.32,30.33,35.69,37.53,37.23,40.36,42.35,43.34
RHOBTB2,1.77,2.93,2.72,0.89,1.18,1.21,1.54,1.29,1.02
HEATR5B,15.23,17.66,16.37,6.41,6.47,4.77,5.16,5.09,5.54
SEC62,43.74,42.86,39.71,39.14,41.3,37.57,41.73,39.88,42.81
RPS20,1404.73,1413.12,1410.8,1198.83,1217.49,1154.98,1144.11,1152.46,1149.33
CSDE1,259.56,250.94,248.85,206.55,203.25,186.73,199.15,198.94,188.21
UBE3C,21.53,23.62,22.4,18.41,19.37,14.73,16.47,16.46,16.29
REV3L,9.03,11.84,8.82,8.35,9.26,8.84,7.25,9.72,7.85
TENM1,0.73,0.64,2.04,0.2,0.22,0.12,0.14,0.21,0.12
PAX7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MASP2,0.13,0.14,0.15,0.24,0.04,0.41,0.08,0.26,0.27
IYD,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01
FAM76A,9.47,9.09,7.22,5.36,5.86,5.7,6.36,7.17,6.11
TRAF3IP3,137.48,142.32,180.69,55.06,57.44,55.83,65.23,61.54,62.21
POMT2,5.44,4.89,5.71,6.33,3.97,4.31,7.54,8.61,8.66
VTA1,8.53,8.22,7.94,12.58,11.92,15.16,15.57,15.23,15.45
MLXIPL,0.0,0.0,0.0,0.0,0.05,0.02,0.06,0.01,0.01
BAZ1B,23.94,27.03,22.81,40.81,39.91,43.18,43.77,45.76,44.05
RANBP9,23.47,25.47,18.71,32.36,33.42,28.79,32.46,31.38,30.33
ETV7,1.26,1.09,0.45,3.2,3.15,0.54,0.6,0.94,0.65
SPRTN,9.58,12.39,8.84,4.14,6.0,3.53,4.34,4.37,3.9
METTL13,6.02,7.08,6.4,16.4,20.49,17.02,19.33,18.22,15.78
DYRK4,4.98,4.76,4.41,22.13,19.05,20.9,23.14,22.7,19.52
ZNF207,92.72,102.01,108.2,81.41,83.55,63.76,75.45,69.01,72.21
UQCRC1,38.65,46.93,38.01,88.7,93.45,94.62,94.88,93.47,89.2
STARD3NL,5.68,5.43,5.0,11.53,11.41,11.05,10.73,10.48,9.62
CD9,1.07,1.16,1.02,2.62,2.74,3.35,3.48,3.21,3.95
HHATL,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.06
NCAPD2,15.14,14.09,15.0,67.57,64.57,65.62,70.01,68.33,66.6
IFFO1,16.59,18.1,12.15,6.13,5.57,5.92,7.06,6.59,7.1
GIPR,5.16,4.62,2.85,4.73,5.19,3.21,2.44,2.33,2.78
PHF7,5.08,6.12,6.79,11.81,12.94,11.34,12.08,13.32,12.08
SEMA3G,0.58,0.77,0.3,0.07,0.03,0.05,0.15,0.08,0.18
NISCH,59.34,67.49,60.88,34.63,34.72,32.22,34.0,39.2,35.23
STAB1,0.55,0.87,0.15,0.08,0.26,0.0,0.05,0.01,0.02
FUZ,10.18,9.14,5.11,10.68,13.31,15.3,15.54,13.84,14.69
SLC6A13,0.13,0.37,0.33,1.14,1.61,1.15,1.36,1.49,1.46
IDS,155.24,172.32,72.68,36.57,39.72,24.75,26.88,24.15,26.37
PRSS3,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.11,0.12
ZNF200,3.59,3.24,3.96,6.7,6.23,6.51,6.15,6.04,6.16
CD4,67.05,68.73,61.71,60.8,58.1,52.36,52.64,56.79,56.13
LRRC23,5.46,5.82,3.47,3.71,3.55,4.3,4.7,5.19,4.7
BTK,1.22,1.9,0.62,0.82,0.6,0.41,0.72,0.45,0.64
HFE,1.08,1.05,0.41,0.8,0.51,0.47,0.54,0.42,0.42
SCMH1,6.77,6.35,7.83,12.33,10.97,11.18,11.97,12.18,15.01
FYN,224.12,245.6,205.62,218.33,214.15,187.92,209.83,200.46,201.18
HIVEP2,30.69,34.93,28.51,13.32,12.54,11.47,10.73,10.78,10.58
FMO1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELOA,13.4,14.07,10.37,14.73,14.56,13.61,13.47,13.39,12.28
LYPLA2,25.13,24.68,19.11,27.39,29.06,30.09,29.76,29.86,30.75
CLCN6,6.19,7.65,6.91,3.53,4.14,3.64,3.88,4.24,3.95
MRC2,2.28,2.23,1.67,6.13,4.98,3.14,2.52,3.56,2.52
NME1-NME2,2.37,0.0,0.0,4.37,8.91,13.18,1.49,4.29,7.03
SLC6A7,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSPAN9,0.1,0.24,0.23,0.52,0.48,0.39,0.24,0.49,0.39
BTBD7,10.1,11.14,8.63,5.42,6.91,5.86,4.59,5.7,6.08
APBA3,20.42,25.2,22.88,22.37,25.8,22.25,21.94,22.51,22.28
MKS1,4.25,5.46,6.37,11.08,14.23,16.27,14.67,14.26,16.48
ABHD5,3.58,3.6,3.27,8.57,8.28,8.42,7.85,6.83,8.71
ANOS1,0.0,0.01,0.0,0.05,0.0,0.0,0.0,0.0,0.0
AKAP8L,52.96,57.82,53.44,45.26,45.3,44.97,51.47,50.39,49.03
MBTD1,10.15,11.72,10.92,5.2,5.75,5.95,5.64,5.57,5.78
UTP18,18.35,19.16,15.84,20.48,21.07,22.63,24.26,23.84,24.79
RNF216,30.6,34.12,32.24,19.72,19.03,17.74,18.57,20.03,18.36
TTC19,22.24,25.14,18.21,14.53,13.2,15.05,15.6,16.66,15.53
PTBP1,152.11,147.2,123.36,222.56,240.24,233.1,254.35,261.19,225.57
DPF1,0.0,0.02,0.1,0.28,0.12,0.63,0.41,0.43,0.62
SYT7,0.07,0.0,0.01,0.0,0.0,0.0,0.04,0.0,0.0
LARS2,6.25,9.24,10.04,9.09,8.48,7.49,7.96,6.41,10.33
PIK3C2A,14.89,16.59,16.22,11.48,9.86,8.25,9.84,7.79,9.09
PLAUR,4.29,3.29,1.67,4.48,4.24,2.91,4.14,3.48,3.14
ANLN,0.21,0.45,0.61,21.4,15.96,14.07,19.17,15.98,16.82
WIZ,8.06,9.22,7.88,5.77,5.99,5.36,6.15,6.35,5.66
RABGAP1,16.8,16.23,14.65,14.28,16.01,14.31,13.76,16.19,14.67
DCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QPCTL,2.07,4.68,2.14,12.86,12.02,10.82,8.66,8.72,9.39
PPP5C,20.53,25.6,16.44,24.43,24.36,29.22,30.67,29.62,26.78
CEP68,14.83,12.33,9.61,4.48,4.13,2.18,2.54,2.62,2.16
MAP4K3,8.45,10.71,10.8,7.38,6.75,3.94,6.09,6.36,6.44
ZBTB32,0.94,1.76,0.98,83.05,80.52,60.95,61.09,64.2,57.75
TYROBP,1.39,2.72,1.17,0.54,0.09,0.15,0.0,0.29,0.34
TMEM159,4.52,5.44,4.4,5.27,5.02,5.32,4.32,4.59,4.26
GABRA3,0.0,0.0,0.0,0.06,0.0,0.0,0.02,0.02,0.0
BRCA1,1.5,1.19,2.2,47.96,49.61,52.87,57.01,60.38,58.96
ERCC1,18.55,18.52,16.66,30.66,31.31,28.27,30.74,31.44,29.63
CD22,3.21,3.73,2.63,16.89,13.59,15.43,18.52,17.39,17.76
SEMA3B,0.62,1.08,0.13,0.83,1.2,1.35,1.38,1.98,1.26
MBTPS2,2.48,2.59,1.9,3.34,3.11,3.04,3.16,3.19,3.32
PRICKLE3,2.88,2.34,3.18,7.5,6.74,7.6,7.33,7.23,6.68
LTF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXTL3,4.6,4.92,3.87,5.95,5.14,4.68,6.0,5.44,5.34
NR1H4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELOVL5,42.16,43.46,35.11,44.17,47.53,41.38,45.13,43.18,44.84
ALOX5,4.35,5.93,6.34,1.72,1.74,0.9,0.64,0.68,0.48
KDM5D,57.4,61.01,0.0,16.18,16.66,0.0,0.0,0.0,0.0
CALCOCO1,56.37,50.57,54.81,30.79,25.23,23.67,25.01,21.39,24.6
UBR7,5.84,5.16,5.07,15.22,12.89,14.76,15.1,16.32,14.82
MAP4K5,17.12,14.87,13.4,8.97,6.74,6.4,7.9,7.65,6.24
EHD3,1.57,1.78,1.16,0.41,0.43,0.31,0.35,0.43,0.38
