gene_name,H9_1,H9_2,PP_1,PP_2,PC_1,PC_2,OC_2,OC_1,NC_1,NC_2,EC_1,EC_2
RNF181,54.74,55.75,35.77,37.08,32.64,29.52,28.75,29.57,33.33,29.1,55.2,53.67
VAMP5,0.26,0.27,1.77,1.87,1.41,1.85,0.0,0.09,0.22,0.64,2.47,2.86
BTNL3,0.03,0.0,0.0,0.0,0.34,1.15,0.0,0.0,0.0,0.0,0.0,0.0
LRRC28,6.83,8.07,15.22,20.23,11.15,11.33,10.18,10.55,15.13,12.33,12.48,11.86
MAT2A,203.68,209.77,117.13,136.87,167.05,88.0,68.19,68.32,177.48,173.68,111.59,121.58
PLA2G4F,0.01,0.02,0.25,0.39,0.44,1.34,0.0,0.0,0.08,0.0,0.0,0.01
ENHO,5.15,6.63,1.68,2.02,2.26,0.4,0.32,0.39,5.29,5.64,8.3,6.59
ZNF608,29.06,30.67,61.92,60.46,26.09,15.72,24.43,24.65,47.02,45.43,57.01,63.57
SLC35G2,2.47,3.03,0.98,1.1,2.4,1.54,2.65,2.79,2.55,2.58,0.92,0.65
INPP5D,5.95,5.81,2.2,4.04,7.56,17.16,0.15,0.12,0.13,0.12,0.8,1.37
LETM1,18.85,19.86,19.26,23.08,26.63,25.7,17.94,19.1,26.18,25.99,20.63,23.81
CTRB1,0.04,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTRB2,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0
TRIM49,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM129,13.86,12.5,12.54,13.47,15.93,17.24,18.15,20.5,16.09,16.02,14.61,15.27
PPIC,5.44,4.92,10.84,9.48,9.69,24.25,16.61,19.82,0.41,0.71,11.68,11.67
SPRY3,0.4,0.3,0.47,0.62,0.39,0.23,0.34,0.37,0.49,0.46,0.38,0.54
SPRY3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEP120,10.42,10.31,9.12,10.55,11.13,6.89,6.97,7.96,10.66,11.14,8.31,9.06
STXBP6,1.17,1.66,4.97,5.28,7.03,21.52,2.37,2.67,3.16,2.93,0.49,0.67
TM4SF20,0.0,0.0,0.0,0.0,1.53,2.9,0.0,0.0,0.0,0.0,0.0,0.0
MFF,40.18,38.13,35.42,42.65,29.51,35.43,31.03,33.37,41.44,36.04,36.28,34.03
GRM5,0.01,0.0,0.11,0.09,0.07,0.16,0.08,0.01,0.2,0.21,0.04,0.04
LGALS9,0.93,1.14,0.89,1.38,10.46,9.45,1.68,1.19,0.94,0.36,0.93,0.73
PMCHL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JMJD7-PLA2G4B,2.92,3.7,7.94,8.57,9.53,11.96,3.06,2.99,6.27,5.73,3.96,4.17
OR7E102P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPLX1,0.22,0.41,0.57,0.88,2.31,1.56,0.02,0.02,1.11,0.86,0.77,0.85
PXDC1,1.36,1.42,1.99,2.38,9.76,24.03,48.17,49.97,2.39,2.07,1.45,1.51
SIGLEC7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.11
NTSR2,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E2F6,10.78,9.97,9.56,9.63,8.04,5.97,5.51,6.46,12.7,12.2,10.65,11.34
FEM1B,37.96,35.63,19.18,22.73,22.44,26.51,26.47,27.35,29.47,26.34,27.2,29.74
COMMD8,5.32,4.97,8.69,8.91,5.31,5.12,5.47,5.91,6.83,6.01,8.35,6.69
ATP5ME,197.22,194.48,98.0,106.21,118.19,152.45,100.8,99.83,123.49,119.15,189.53,185.08
UQCRFS1,21.15,21.11,12.26,12.95,17.82,19.91,9.54,9.74,15.87,14.92,15.38,14.85
SLC49A3,3.11,3.14,5.49,5.83,1.36,1.06,0.25,0.12,0.34,0.39,6.57,7.44
COL4A3,0.29,0.07,0.14,0.04,0.08,0.2,0.12,0.22,0.0,0.0,0.93,1.11
MAP2K1,22.96,23.24,11.93,12.88,13.98,11.54,18.88,18.88,19.08,18.58,34.45,36.92
KLK7,0.06,0.24,0.04,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.03,0.08
PMCHL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPH1,475.14,487.63,574.8,627.23,369.76,235.55,189.32,181.35,508.08,499.73,375.56,402.18
IRS1,7.42,6.85,7.14,9.22,10.74,6.74,7.37,7.67,6.52,6.46,6.61,7.55
MECP2,13.87,14.71,19.87,18.29,15.61,13.45,16.26,17.07,22.43,21.05,14.39,16.06
VCX3A,0.16,0.13,0.12,0.23,0.0,0.04,0.25,0.24,0.3,0.25,0.06,0.08
