gene_name,H9_1,H9_2,PP_1,PP_2,PC_1,PC_2,OC_2,OC_1,NC_1,NC_2,EC_1,EC_2
PCMTD1P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MORF4,0.03,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.05,0.0,0.0,0.0
FAM197Y2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC090505.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL26P29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01135,0.03,0.0,0.02,0.05,0.05,0.2,0.0,0.05,0.02,0.0,0.01,0.0
AL603840.1,0.0,0.0,0.02,0.0,0.1,0.01,0.1,0.03,0.0,0.01,0.0,0.0
AL161932.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BX664727.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL357520.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVIL2P,0.0,0.08,0.01,0.0,0.11,0.09,0.02,0.11,0.0,0.0,0.02,0.0
HIST1H2APS5,0.34,0.12,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0
AL136309.2,0.06,0.12,0.1,0.1,0.07,0.08,0.05,0.02,0.02,0.03,0.01,0.03
AC007314.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL353705.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRPS33P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XRCC6P2,0.13,0.12,0.11,0.08,0.07,0.0,0.02,0.03,0.1,0.02,0.06,0.16
AC003084.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IQCM,0.07,0.07,0.08,0.09,0.0,0.05,0.02,0.0,0.09,0.0,0.0,0.02
IFNA17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM197Y9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL096677.1,0.0,0.09,0.2,0.23,0.32,0.15,0.11,0.06,0.23,0.22,0.18,0.16
PHBP13,0.46,0.52,0.33,0.44,0.23,0.05,0.24,0.19,0.12,0.14,0.34,0.62
AC073464.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPIAP78,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPS26P30,0.65,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.79
LINC01239,0.0,0.01,0.08,0.18,0.02,0.03,0.09,0.06,0.13,0.13,0.64,0.61
AC017007.2,0.66,0.79,0.0,0.0,0.22,0.18,0.13,0.0,0.2,0.26,3.92,7.77
MTCO2P16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC42P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC008758.2,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
MTND2P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL23AP42,13.26,10.37,6.38,15.51,3.71,3.14,8.26,10.0,5.6,4.82,13.1,9.13
NDUFA5P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLIT1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPUL2-BSCL2,9.96,9.14,12.51,12.76,14.47,16.89,13.25,11.72,16.75,15.42,13.25,10.7
AC003958.2,0.0,0.0,0.0,0.0,0.11,0.09,0.0,0.0,0.02,0.0,0.0,0.0
AL162394.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP5F1AP1,0.02,0.0,0.0,0.0,0.0,0.06,0.0,0.07,0.0,0.0,0.0,0.0
AL035258.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0
AC096644.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL022344.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC026784.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.09
AL021392.1,0.03,0.03,0.12,0.15,0.42,1.09,0.25,0.31,0.0,0.03,0.09,0.21
AL358176.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092660.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPE1P1,0.28,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,1.19
LINC00163,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
PIGFP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIF3EP1,0.43,0.52,2.11,2.28,2.1,0.35,0.71,0.77,1.72,1.31,0.42,0.83
MIR155HG,0.14,0.1,0.0,0.03,0.05,0.05,0.26,0.09,0.05,0.13,0.02,0.02
AL022329.1,0.09,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
MTND5P26,0.07,0.11,0.38,0.18,0.09,0.09,0.12,0.31,0.1,0.13,0.21,0.34
OFD1P15Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL391666.1,0.05,0.01,0.25,0.23,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.04
HNRNPDLP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z82196.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.95
Z82214.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL139327.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR52X1P,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.12,0.12,0.46
OR7E62P,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEK2P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOX9-AS1,0.14,0.24,15.52,16.59,1.79,0.48,0.15,0.22,1.64,0.85,0.04,0.08
AL135937.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTND6P13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC007879.3,0.0,0.07,0.08,0.18,0.08,0.08,0.14,0.09,0.18,0.07,0.14,0.24
AC133104.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOC2,0.0,0.0,0.07,0.0,0.19,0.41,0.0,0.0,0.0,0.09,0.07,0.32
AL593851.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL6RP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEX21P,0.68,0.6,1.22,1.19,0.82,0.55,0.29,0.22,1.3,1.09,0.54,0.64
SNHG20,7.97,9.03,7.1,7.27,6.09,5.43,4.52,3.54,9.46,8.38,5.33,6.52
AC016027.2,0.01,0.01,0.06,0.03,0.06,0.12,0.02,0.07,0.17,0.14,0.0,0.06
AL360091.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.14,0.0,0.0,0.0
AC098484.2,0.24,0.63,0.36,0.5,0.84,0.0,0.16,0.08,0.56,0.5,0.25,0.07
AL157387.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC006450.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSEN15P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP5PDP4,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.17,0.15
HMGN1P18,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC01659,0.07,0.27,2.46,2.94,1.06,0.79,0.1,0.23,0.15,0.67,0.73,1.52
AC018685.2,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARK2P15,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC009969.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC42P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTND5P29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC010883.1,1.12,0.42,0.12,0.42,0.77,0.6,0.52,0.43,0.4,0.63,0.63,0.37
AL139128.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC012668.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0
MTND2P18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC023128.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL117339.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRID1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC092839.2,0.0,0.11,0.26,0.15,0.0,0.0,0.0,0.0,0.15,0.0,0.11,0.0
AL365199.1,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02
GTF3C2-AS1,0.05,0.0,0.06,0.0,0.08,0.0,0.06,0.07,0.0,0.0,0.0,0.0
SDHCP3,0.37,0.54,1.08,1.12,1.22,0.7,0.19,0.21,1.29,0.54,0.7,0.73
LINC01524,0.0,0.0,0.0,0.02,0.01,0.0,0.06,0.0,0.0,0.01,0.0,0.0
AC104667.2,0.18,0.21,0.09,0.19,0.14,0.0,0.0,0.04,0.0,0.0,0.52,0.41
RBMY2OP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL139121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL138799.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FABP5P13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FABP5P13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL133415.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.0,0.0
LINC00700,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0
FABP5P7,2.87,7.33,4.08,3.58,0.86,1.63,1.97,0.0,3.2,0.0,1.53,3.64
SHISA8,0.33,0.62,0.03,0.06,0.09,0.19,0.1,0.08,0.06,0.08,0.08,0.03
AL357558.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL627389.1,0.19,0.29,0.21,0.28,0.0,0.08,0.18,0.18,0.49,0.65,0.09,0.13
AL355989.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FTH1P2,1.18,0.84,1.14,1.38,0.81,1.26,0.8,0.52,0.0,0.58,0.61,1.7
AC074389.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z82185.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC244034.1,0.04,0.0,0.11,0.42,0.11,0.06,0.0,0.06,0.0,0.05,0.0,0.0
AL441963.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC010132.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FMO10P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC074085.2,0.09,0.0,0.33,0.0,0.12,0.22,0.12,0.13,0.25,0.19,0.0,0.0
AL731661.2,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0
LINC01849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUBNP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC013429.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC098934.2,2.37,1.75,1.28,1.89,0.82,0.56,0.02,0.09,2.7,2.77,0.81,0.94
AC016745.1,0.0,0.0,0.0,0.0,0.19,0.09,0.29,0.0,0.0,0.31,0.0,0.0
AC244453.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNRPCP19,0.0,0.09,0.2,0.23,0.0,0.2,0.11,0.0,0.0,0.0,0.0,0.1
EIF4A1P2,0.16,0.3,0.0,0.04,0.08,0.04,0.0,0.09,0.08,0.13,0.24,0.09
AL513331.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USP9YP30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL450468.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL161785.2,0.11,0.15,0.0,0.05,0.0,0.04,0.0,0.05,0.05,0.14,0.04,0.17
AL023775.1,0.24,0.32,0.09,0.14,0.05,0.17,0.05,0.03,0.17,0.19,0.26,0.44
LINC01883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL512622.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.21,0.66,0.08,0.0
AL353651.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF121897.1,0.02,0.01,0.01,0.01,0.01,0.04,0.01,0.0,0.02,0.02,0.04,0.09
COX20P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0
REREP2Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEMIN2P1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.06
SEMA3F-AS1,0.01,0.07,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.07,0.09,0.16
AL137077.1,0.57,0.51,0.6,0.97,0.27,0.25,0.73,0.4,0.56,0.37,0.81,1.04
AL390783.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL591848.2,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP001626.1,0.4,0.23,0.58,0.78,0.26,0.13,0.03,0.03,0.28,0.24,0.54,0.61
AC097468.2,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.07,0.14,0.08
DPP10-AS1,2.56,1.87,3.25,3.66,1.51,2.04,0.0,0.0,0.0,0.05,0.85,0.88
AC068580.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMGN1P30,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.18
MNX1-AS2,0.0,0.0,0.93,0.3,0.14,0.26,0.0,0.0,0.0,0.0,0.0,0.14
BMP7-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL590999.1,0.49,0.61,0.5,0.33,0.52,0.24,0.61,0.72,0.73,0.52,0.35,0.02
C19orf81,4.36,5.01,3.58,2.52,1.52,0.77,0.14,0.0,4.06,3.4,5.52,5.12
AC005234.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL035456.1,0.08,0.04,0.09,0.19,0.0,0.0,0.04,0.04,0.0,0.03,0.11,0.05
AL445193.2,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTND6P12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTCO3P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC098820.2,0.0,0.0,0.06,0.0,0.07,0.0,0.0,0.0,0.21,0.0,0.0,0.0
TECRP1,0.65,0.63,0.42,0.79,0.0,0.42,0.73,0.65,0.22,0.17,0.73,0.22
PPIAP3,0.23,0.08,0.18,0.0,0.0,0.0,0.19,0.0,0.0,0.31,0.08,0.09
RPL7P8,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC016751.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00940,0.0,0.0,0.07,0.06,0.0,0.02,0.02,0.02,0.07,0.11,0.01,0.03
MLIP-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL357497.1,0.11,0.06,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.11,0.0,0.13
AL021154.1,0.0,0.18,0.72,0.46,0.21,0.1,0.0,0.0,0.0,0.18,0.62,0.31
LINC01777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL157407.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC010983.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.03,0.0
ZMYND10-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC008175.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDAC1P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBE2V1P7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCRP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC25A5P2,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL24P2,6.07,6.36,1.95,2.32,3.05,2.19,1.35,1.8,4.08,3.66,4.27,3.86
AC009303.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
AL627082.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC062015.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.04
AC073909.1,0.27,0.38,1.34,2.07,0.21,0.08,0.13,0.24,0.13,0.21,0.7,2.32
AC012074.1,0.27,0.26,0.25,1.09,0.47,0.15,0.41,0.31,0.98,0.43,0.5,0.74
GAPDHP52,0.04,0.0,0.3,0.1,0.14,0.08,0.05,0.05,0.19,0.07,0.15,0.13
AC073842.1,0.0,0.13,0.15,0.68,0.16,0.29,0.0,0.0,0.0,0.0,0.0,0.31
AC231981.1,0.21,0.11,0.08,0.43,0.48,0.04,0.09,0.24,0.41,0.43,0.47,0.09
ZRANB2-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTND5P23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC245052.3,0.23,0.04,0.32,0.26,0.05,0.27,0.15,0.16,0.15,0.16,0.16,0.09
SUMO1P3,0.6,1.66,0.0,0.3,0.25,0.0,0.0,0.0,0.27,0.43,0.42,0.25
AL929288.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHCHD2P6,0.18,0.29,0.0,0.21,0.55,0.52,0.22,0.23,0.46,0.36,0.09,0.32
AC091153.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FNDC1-IT1,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL031667.2,0.14,0.42,1.8,0.19,0.17,0.48,0.87,0.57,0.0,0.56,1.69,1.83
AL357632.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL7L1P3,0.77,0.8,0.56,0.49,0.58,1.09,0.46,1.15,0.68,0.42,0.7,0.88
BX324167.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.0,0.0
ID2-AS1,1.37,1.35,3.64,2.09,1.03,1.21,0.34,0.42,1.01,0.32,2.34,3.81
AC006335.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC099654.2,0.01,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC118555.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00330,0.0,0.0,0.02,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
ANKRD65,1.47,1.4,6.31,8.17,3.14,4.68,0.08,0.09,0.29,0.38,0.77,0.71
AL138731.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL157400.3,0.13,0.08,0.0,0.07,0.16,0.18,0.07,0.04,0.07,0.16,0.08,0.0
SETP9,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADI1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL356968.2,0.53,0.55,0.23,0.65,0.43,0.2,0.15,0.06,0.23,0.15,0.23,0.37
BRD3OS,8.1,7.52,11.71,9.81,9.94,7.14,7.41,8.43,11.38,13.15,8.89,8.64
IFNA12P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZSCAN31,1.62,3.26,1.97,2.73,2.57,2.6,2.31,1.58,2.51,2.88,1.76,2.12
AC107421.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z97192.3,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
HSPE1P27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL161932.2,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHCHD2P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM237A,0.26,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0
AL138895.1,0.82,0.43,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.42,0.43,2.01
BSN-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL645504.1,0.04,0.06,0.09,0.15,0.18,0.13,0.11,0.15,0.35,0.22,0.07,0.11
AL121974.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DSCAM-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRT8P17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
AC128709.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC068286.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC013474.1,0.0,0.04,0.26,0.24,0.27,0.05,0.17,0.49,0.46,0.45,0.09,0.11
FABP7P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL136528.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0
RPL35AP22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL627224.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSP90AB6P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL445931.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003984.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC026391.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COX6CP17,0.35,0.0,0.43,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02532,0.01,0.0,3.26,2.69,0.97,2.01,0.0,0.0,0.0,0.0,0.01,0.0
AL445235.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPSAP16,0.04,0.35,0.66,0.34,0.74,0.35,0.49,0.77,0.73,0.74,0.26,0.46
AC114498.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
AC128677.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMGB3P23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC096659.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0
RCBTB2P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
AC131097.4,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.17,0.13,0.07,0.0
AL353052.1,3.52,4.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.88
FP325330.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM30CP,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC087430.1,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.03
AL121672.2,0.0,0.0,0.0,0.0,0.15,0.05,0.15,0.22,0.0,0.0,0.0,0.05
