,Control_78_Day_0_Rep3,Control_78_Day_0_Rep4,Control_78_Day_3_Rep1,Control_78_Day_3_Rep2,FSHD2_19_Day_0_Rep1,FSHD2_19_Day_0_Rep2,FSHD2_19_Day_3_Rep1,FSHD2_19_Day_3_Rep2
ENSG00000280064.1|AC130304.1,0,6,0,19,0,0,2,0
ENSG00000241032.3|RN7SL709P,0,0,1,1,4,1,3,0
ENSG00000169154.6|GOT1L1,0,0,0,0,0,0,0,0
ENSG00000285880.1|AC144573.1,0,0,2,0,1,0,1,0
ENSG00000188778.5|ADRB3,0,0,0,0,0,0,0,0
ENSG00000270865.1|RPL12P48,0,0,0,0,0,0,0,0
ENSG00000187840.4|EIF4EBP1,1128,1272,630,992,1487,1428,961,853
ENSG00000260949.1|AP006545.1,6,2,2,1,0,5,3,1
ENSG00000272128.1|AP006545.2,0,0,0,0,1,0,0,1
ENSG00000129691.15|ASH2L,810,892,488,708,549,768,423,487
ENSG00000253437.1|RNU6-988P,0,0,0,0,0,0,0,0
ENSG00000240015.2|AC084024.1,0,2,0,4,2,2,0,3
ENSG00000147465.11|STAR,2,0,2,2,3,3,4,1
ENSG00000253356.1|AC084024.3,0,0,0,0,0,0,0,0
ENSG00000175324.9|LSM1,670,669,642,822,564,602,605,709
ENSG00000253739.1|RNU6-323P,0,0,0,0,1,0,0,0
ENSG00000156735.10|BAG4,540,559,288,468,328,480,160,363
ENSG00000248585.2|AC084024.2,0,0,1,3,2,0,1,1
ENSG00000285632.1|AC084024.4,5,5,8,6,7,6,3,5
ENSG00000085788.13|DDHD2,652,675,341,557,328,523,265,496
ENSG00000147535.16|PLPP5,323,328,304,368,376,364,374,408
ENSG00000147548.16|NSD3,383,371,194,408,658,483,332,460
ENSG00000255487.1|AC087362.2,0,0,0,0,0,0,0,0
ENSG00000254898.1|AC087362.1,0,0,0,0,0,0,0,0
ENSG00000272092.1|AC087623.2,5,6,2,2,27,9,14,10
ENSG00000165046.12|LETM2,31,38,28,52,88,45,50,83
ENSG00000077782.20|FGFR1,159,182,109,154,1053,590,676,692
ENSG00000272159.1|AC087623.3,0,1,0,0,0,1,0,0
ENSG00000255201.1|AC087623.1,0,2,3,3,5,1,4,2
ENSG00000239218.2|RPS20P22,0,5,1,10,3,2,0,2
ENSG00000196166.4|C8orf86,2,0,1,2,3,2,4,7
ENSG00000253361.2|AC069120.1,0,0,0,0,0,0,1,0
ENSG00000253570.1|RNF5P1,46,49,59,86,0,0,0,0
ENSG00000254321.1|AC016813.1,0,0,0,0,0,0,0,0
ENSG00000147526.19|TACC1,1086,1170,713,1146,1926,1030,505,670
ENSG00000207258.1|RF00019,0,0,0,0,0,0,0,0
ENSG00000253586.1|AC067817.1,0,0,0,0,3,0,0,1
ENSG00000253829.1|AC067817.2,2,1,0,2,4,1,4,0
ENSG00000169499.14|PLEKHA2,280,231,97,146,261,190,58,56
ENSG00000253645.1|AC108863.1,5,0,0,15,3,2,5,4
ENSG00000169495.4|HTRA4,2,3,1,2,6,2,2,4
ENSG00000169490.16|TM2D2,799,892,550,754,792,1003,476,584
ENSG00000168615.11|ADAM9,5135,5315,1769,2491,3892,8310,1246,2501
ENSG00000207199.1|RF00212,0,0,0,0,0,0,0,0
ENSG00000197140.14|ADAM32,28,16,10,36,41,16,13,16
ENSG00000243095.1|RPL3P10,0,0,0,0,2,0,0,0
ENSG00000253160.1|AC105185.1,0,0,0,0,0,0,0,0
ENSG00000196115.13|ADAM5,0,1,0,1,0,0,0,0
ENSG00000197475.11|ADAM3A,0,0,0,0,1,0,0,0
ENSG00000254067.2|AC123767.1,0,0,0,0,0,0,0,0
ENSG00000168619.15|ADAM18,0,0,0,0,0,0,0,0
ENSG00000104755.14|ADAM2,0,0,0,0,0,0,0,0
ENSG00000253332.1|AP005902.2,0,0,0,0,0,0,0,0
ENSG00000253233.1|AP005902.1,0,0,0,0,0,0,0,0
ENSG00000131203.12|IDO1,0,0,0,0,0,0,3,0
ENSG00000253939.1|AC007991.3,2,0,3,4,1,2,7,1
ENSG00000253838.1|AC007991.2,0,0,0,0,0,0,0,0
ENSG00000254287.1|AC007991.4,3,0,1,1,3,1,0,1
ENSG00000188676.13|IDO2,3,2,5,7,1,3,15,6
ENSG00000253790.1|AC007991.1,0,0,0,0,0,0,0,0
ENSG00000253381.1|AC087518.1,0,0,0,0,0,0,0,0
ENSG00000253665.1|AC022733.1,0,0,0,0,1,0,0,0
ENSG00000176907.4|TCIM,21,31,45,48,29,17,36,22
ENSG00000254143.1|AC022733.2,0,0,0,0,0,0,0,0
ENSG00000253802.1|SIRLNT,0,0,2,4,1,0,1,2
ENSG00000253354.1|AC105999.1,0,0,0,0,0,0,0,0
ENSG00000272479.1|AC010857.1,1,0,0,1,0,0,0,0
ENSG00000165061.14|ZMAT4,2,0,1,2,3,0,2,0
ENSG00000254383.1|AC048387.1,0,0,0,0,0,0,0,0
ENSG00000206867.1|RNU6-356P,0,0,0,0,0,0,0,0
ENSG00000104332.11|SFRP1,1,0,0,0,50,26,4,9
ENSG00000263372.1|MIR548AO,0,0,0,0,0,0,0,0
ENSG00000239281.2|RPS29P2,0,0,0,0,0,0,0,0
ENSG00000253509.1|AC104393.1,0,0,0,0,0,0,0,0
ENSG00000206852.1|RNU6-895P,0,0,0,0,0,0,0,0
ENSG00000238936.1|SNORD65B,0,0,0,0,0,0,0,0
ENSG00000253396.1|AC016868.1,0,0,0,0,1,0,0,0
ENSG00000147533.16|GOLGA7,935,922,632,850,543,932,559,715
ENSG00000253943.1|KRT18P37,0,0,0,0,0,0,0,0
ENSG00000147536.11|GINS4,184,168,59,67,346,401,39,37
ENSG00000253133.1|AC009630.1,1,1,2,2,4,1,1,1
ENSG00000253174.2|AC009630.2,93,123,43,29,97,152,6,15
ENSG00000158669.11|GPAT4,775,914,814,1090,853,762,632,801
ENSG00000264578.1|AC009630.3,54,45,43,78,63,77,68,68
ENSG00000165066.12|NKX6-3,0,0,0,0,0,0,0,0
ENSG00000029534.20|ANK1,472,483,845,1155,14,299,279,285
ENSG00000274705.2|MIR486-1,0,0,0,0,0,0,0,0
ENSG00000283450.1|MIR486-2,0,0,0,0,0,0,0,0
ENSG00000253389.2|AC113133.1,13,8,18,18,4,12,13,5
ENSG00000207101.1|RF00019,0,0,0,0,0,0,0,0
ENSG00000260588.1|AC027702.1,13,3,5,3,18,9,9,13
ENSG00000241834.3|RN7SL149P,0,0,0,0,0,0,0,0
ENSG00000083168.10|KAT6A,263,297,155,327,157,233,92,204
ENSG00000238966.1|RF01169,0,0,0,0,0,0,0,0
ENSG00000244235.2|AC103724.1,0,0,0,0,0,0,0,0
ENSG00000253135.1|AC103724.2,0,0,0,0,0,0,0,0
ENSG00000271938.1|AC103724.4,0,0,0,0,0,0,1,0
ENSG00000261449.1|AC103724.3,1,0,0,0,0,0,0,1
ENSG00000070718.11|AP3M2,177,214,337,436,153,170,410,355
ENSG00000104368.17|PLAT,2717,2831,588,684,6046,3599,4820,5437
ENSG00000253408.5|AC083973.1,6,3,1,1,10,8,0,3
ENSG00000104365.14|IKBKB,348,319,393,539,416,414,450,612
ENSG00000070501.11|POLB,209,237,578,751,196,240,283,297
ENSG00000240395.1|RPL5P23,4,0,3,3,3,3,0,3
ENSG00000104371.4|DKK4,0,0,0,0,0,0,0,1
ENSG00000078668.13|VDAC3,2452,2645,2476,3496,1909,2489,1959,2277
ENSG00000168575.9|SLC20A2,552,599,1585,1940,503,533,778,1317
ENSG00000254131.1|AC093367.1,1,0,0,1,1,0,1,1
ENSG00000254165.1|AC090739.1,0,1,0,0,3,0,1,0
ENSG00000176209.11|SMIM19,235,224,186,239,176,176,320,292
ENSG00000147432.6|CHRNB3,0,0,0,0,0,0,0,1
ENSG00000255101.1|AC103843.1,0,0,0,0,0,0,0,0
ENSG00000255361.1|AC103843.2,0,0,0,0,0,0,0,0
ENSG00000147434.8|CHRNA6,0,0,0,0,1,0,0,0
ENSG00000131931.8|THAP1,209,169,171,239,86,130,107,148
ENSG00000120925.15|RNF170,283,319,210,310,209,239,178,218
ENSG00000242719.3|RN7SL806P,0,0,1,0,5,0,0,0
ENSG00000284062.1|MIR4469,0,0,0,0,0,0,1,1
ENSG00000168172.8|HOOK3,520,527,481,951,449,533,241,585
ENSG00000202514.1|RF00019,0,0,0,0,0,0,0,1
ENSG00000254673.1|AC110275.1,0,0,0,0,0,2,0,0
ENSG00000168522.12|FNTA,409,468,397,586,596,447,659,841
ENSG00000200731.1|RNU1-124P,0,0,0,0,0,0,0,0
ENSG00000185900.9|POMK,124,147,115,204,79,165,61,237
ENSG00000254198.1|AC113191.1,19,18,21,33,16,13,7,35
ENSG00000165102.14|HGSNAT,871,922,533,840,659,679,385,943
ENSG00000253611.1|VN1R46P,0,0,0,0,0,0,0,0
ENSG00000253884.1|AC022616.5,0,0,1,0,0,1,0,0
ENSG00000255166.1|AC022616.7,0,0,0,0,0,0,0,0
ENSG00000253312.1|AC022616.3,0,0,0,0,0,0,0,0
ENSG00000253186.2|AC022616.2,0,0,0,0,0,0,0,0
ENSG00000253606.2|AFG3L2P1,0,0,0,0,0,0,0,0
ENSG00000234713.3|AC022616.1,0,0,0,0,0,0,0,0
ENSG00000253707.1|AC022616.4,0,0,0,0,0,0,0,0
ENSG00000188877.12|POTEA,0,0,1,0,0,0,0,0
ENSG00000238509.1|RNU6-104P,0,0,0,0,0,0,0,0
ENSG00000255497.1|AC022616.8,0,0,0,0,0,0,0,0
ENSG00000254342.1|AC022616.6,0,0,0,0,0,0,0,0
ENSG00000201329.2|RF00012,0,0,0,0,0,0,0,0
ENSG00000250637.2|AC134698.1,0,0,0,0,0,0,0,0
ENSG00000254069.2|AC134698.4,0,0,0,0,0,0,0,0
ENSG00000253319.1|AC134698.3,0,0,0,0,0,0,0,0
ENSG00000253418.1|SNX18P27,0,0,0,0,0,0,0,0
ENSG00000254145.1|AC134698.5,0,0,0,0,0,0,0,0
ENSG00000253748.2|CYP4F44P,0,0,0,0,0,0,0,0
ENSG00000253195.2|AC134698.2,0,0,0,0,0,0,0,0
ENSG00000253845.1|AC139365.2,0,0,0,0,0,0,0,0
ENSG00000253198.1|AC139365.1,0,0,0,0,0,0,0,0
ENSG00000276685.1|RF01518,0,0,0,0,0,0,0,0
ENSG00000253425.2|HSPA8P13,0,0,0,0,0,0,0,0
ENSG00000248498.4|ASNSP1,3,0,0,2,2,0,2,1
ENSG00000254070.1|AC104576.1,0,0,0,0,0,0,0,0
ENSG00000251470.1|ASNSP4,0,0,0,0,0,0,1,0
ENSG00000228984.3|AC021451.1,0,0,0,0,0,0,0,0
ENSG00000250857.3|TRIM60P15,0,0,0,0,0,0,0,0
ENSG00000253314.5|LINC00293,0,0,0,0,0,0,0,0
ENSG00000253828.3|MTND2P38,0,0,0,0,0,0,0,1
ENSG00000282321.1|MTND1P7,0,0,0,0,0,0,0,0
ENSG00000252594.1|RNU6-656P,0,0,0,0,0,0,0,0
ENSG00000254118.1|MTCYBP20,0,0,0,0,0,0,0,0
ENSG00000254156.1|MTND6P20,0,0,0,0,0,0,0,0
ENSG00000253803.1|AC091163.3,0,0,0,0,0,0,0,0
ENSG00000253745.1|AC091163.1,0,0,0,0,0,0,0,0
ENSG00000253782.1|AC091163.2,0,0,0,0,0,0,0,0
ENSG00000215179.5|MAPK6P4,0,0,0,0,0,0,0,0
ENSG00000222099.1|RN7SKP32,0,0,0,0,0,0,0,0
ENSG00000248347.3|AC120036.1,0,0,1,0,0,0,0,0
ENSG00000285992.1|AC120036.5,0,0,0,0,0,0,0,0
ENSG00000200986.1|RNU6-819P,0,0,0,0,0,0,0,0
ENSG00000188873.4|RPL10AP2,3,2,2,0,2,1,3,1
ENSG00000248531.3|NDUFA5P12,0,0,0,0,0,0,0,0
ENSG00000254348.1|AC120036.3,0,0,0,2,0,1,0,0
ENSG00000255366.1|AC120036.4,0,0,0,1,0,1,0,0
ENSG00000253502.1|ATP6V1G1P2,0,0,0,0,0,0,0,0
ENSG00000253817.1|AC120036.2,0,0,0,0,0,0,0,0
ENSG00000215177.3|IGLV8OR8-1,0,0,0,0,0,0,0,0
ENSG00000164808.16|SPIDR,498,513,324,443,351,521,347,404
ENSG00000253330.1|AC024451.2,10,7,7,4,6,9,5,10
ENSG00000269924.1|AC024451.4,0,0,0,0,0,0,0,1
ENSG00000251354.3|AC024451.1,0,0,2,1,0,0,0,1
ENSG00000254065.1|AC024451.3,0,0,0,0,0,0,0,0
ENSG00000207369.1|RNU6-665P,0,0,0,0,0,0,0,0
ENSG00000221869.4|CEBPD,80,77,8,14,144,52,45,27
ENSG00000253729.7|PRKDC,2715,2326,1381,2095,2387,2421,770,1637
ENSG00000207450.1|RF00019,0,0,0,0,0,0,0,0
ENSG00000104738.17|MCM4,2278,2406,853,1146,2290,2895,423,710
ENSG00000222522.1|RNU6-519P,0,0,0,0,0,0,0,0
ENSG00000169139.11|UBE2V2,1630,1530,1300,1866,670,1056,774,1088
ENSG00000253843.1|AC104989.1,0,0,0,0,0,0,0,0
ENSG00000253654.2|AC105029.1,0,0,0,0,0,0,0,0
ENSG00000252710.1|RNU6-295P,0,0,0,0,0,0,0,0
ENSG00000277418.1|RNA5SP531,0,0,0,0,0,0,0,0
ENSG00000224594.2|RPL29P19,2,6,0,0,18,10,3,2
ENSG00000279881.1|AC041040.1,7,12,4,3,12,10,5,5
ENSG00000253140.1|AC026904.1,0,0,0,0,1,0,0,0
ENSG00000253688.2|AC026904.2,6,4,2,4,13,8,1,1
ENSG00000253608.1|AC022915.2,3,1,0,0,2,3,0,0
ENSG00000233858.4|LINC02599,11,16,1,0,14,17,2,2
ENSG00000253702.1|AC026904.3,9,13,0,1,9,10,0,1
ENSG00000253455.1|AC022915.1,3,6,1,2,7,6,3,2
ENSG00000253892.1|AC022915.3,0,0,0,0,1,0,0,0
ENSG00000034239.10|EFCAB1,13,12,6,2,19,13,12,9
ENSG00000233109.4|AC013701.1,1,0,0,0,0,0,0,0
ENSG00000019549.11|SNAI2,5829,5993,959,1330,2147,3445,984,1124
ENSG00000168333.13|PPDPFL,0,0,0,0,0,0,0,0
ENSG00000253474.1|AC022568.1,1,1,0,0,2,0,0,1
ENSG00000199640.1|RN7SKP294,0,0,0,0,0,0,0,0
ENSG00000254268.1|RFPL4AP7,0,0,0,0,0,0,0,0
ENSG00000253380.1|AC090155.2,0,0,0,0,0,0,0,0
ENSG00000253206.1|AC090155.1,1,1,0,0,0,0,0,0
ENSG00000253810.1|PSAT1P1,0,0,0,0,0,0,0,1
ENSG00000253484.1|AC113145.1,0,1,0,0,0,1,0,0
ENSG00000271148.1|AC023762.1,0,0,0,0,0,0,0,0
ENSG00000147481.15|SNTG1,3,3,2,3,2,1,2,5
ENSG00000253849.1|AC090539.1,0,0,0,0,1,0,1,1
ENSG00000254392.1|AC090539.2,0,0,0,0,0,0,0,0
ENSG00000254358.1|CYCSP22,0,0,0,0,0,0,0,0
ENSG00000253340.1|AC087272.1,0,0,0,0,0,0,0,0
ENSG00000201316.1|RF00409,0,0,0,0,0,0,0,0
ENSG00000253664.1|AC012413.1,0,0,0,1,0,0,0,0
ENSG00000147485.12|PXDNL,3,0,4,1,1,0,1,1
ENSG00000254025.1|BRIX1P1,0,0,0,0,0,0,0,0
ENSG00000254225.1|BTF3P1,0,0,0,0,0,0,0,0
ENSG00000272076.1|AC090186.1,0,0,1,1,2,0,0,0
ENSG00000168300.13|PCMTD1,573,582,470,717,145,206,175,361
ENSG00000253475.1|AC103769.1,0,1,0,2,0,0,0,1
ENSG00000228801.5|AC064807.1,35,33,21,43,17,39,25,20
ENSG00000272024.1|AC064807.4,3,1,0,1,2,1,0,1
ENSG00000253844.1|AC064807.2,0,0,0,0,0,2,1,0
ENSG00000254136.1|AC064807.3,0,0,0,0,0,0,0,0
ENSG00000147488.11|ST18,0,3,4,0,5,3,1,4
ENSG00000254314.1|AC021915.2,0,0,0,0,1,1,1,0
ENSG00000253551.1|AC021915.1,0,0,0,0,0,0,0,0
ENSG00000253924.1|AC103831.1,0,0,0,0,0,0,0,0
ENSG00000240534.1|RPL34P17,0,0,0,0,0,0,0,0
ENSG00000196711.8|ALKAL1,0,0,0,0,0,0,0,0
ENSG00000023287.12|RB1CC1,904,918,691,1012,381,590,465,665
ENSG00000271555.1|AC113139.1,0,0,0,0,0,1,1,0
ENSG00000183729.3|NPBWR1,15,35,0,6,1,4,4,3
ENSG00000248911.2|AC009800.1,0,0,0,0,0,0,0,0
ENSG00000250494.1|AC009646.1,0,0,0,0,0,0,0,0
ENSG00000254687.1|AC009646.2,0,1,0,0,1,1,0,0
ENSG00000082556.10|OPRK1,0,1,1,0,0,0,1,1
ENSG00000260484.1|AC131902.2,0,0,0,0,0,1,0,0
ENSG00000274295.1|AC131902.3,0,0,0,0,0,0,0,0
ENSG00000253369.1|AC131902.1,1,0,0,0,0,0,0,0
ENSG00000254204.1|AC022034.3,0,0,0,0,0,0,0,0
ENSG00000237807.3|AC022034.1,55,61,18,19,6,9,7,4
ENSG00000240919.1|AC022034.2,1,0,0,2,0,0,1,1
ENSG00000206144.5|MAPK6P1,0,0,0,0,0,0,0,0
ENSG00000253668.1|AC103778.1,0,0,0,1,0,0,0,0
ENSG00000047249.17|ATP6V1H,1046,1087,794,1078,748,1018,659,863
ENSG00000147509.13|RGS20,62,60,10,14,116,75,25,61
ENSG00000272457.1|AC113194.1,0,0,0,0,0,0,0,0
ENSG00000244159.1|RPS27AP13,1,0,0,0,2,0,0,2
ENSG00000200528.1|RNU6-1331P,0,0,0,0,0,0,0,0
ENSG00000187735.13|TCEA1,1706,1533,1103,1545,1277,1580,955,1250
ENSG00000253667.2|AC100821.1,0,0,1,1,1,0,0,0
ENSG00000260955.2|AC100821.2,0,0,1,0,1,0,1,0
ENSG00000120992.17|LYPLA1,1437,1405,878,1334,732,1155,563,886
ENSG00000254274.1|TDGF1P5,0,1,0,0,1,0,0,1
ENSG00000276353.1|RF00017,1,2,1,1,1,1,0,4
ENSG00000137547.8|MRPL15,1344,1381,1100,1429,1338,1134,986,1050
ENSG00000251835.1|RNU6ATAC32P,1,0,0,0,0,0,0,0
ENSG00000270980.1|AC060764.1,0,0,0,0,0,0,0,0
ENSG00000253840.1|AC044836.1,0,0,0,0,0,0,0,0
ENSG00000199212.1|RNU105C,0,0,0,0,0,0,0,0
ENSG00000276605.1|AC027250.1,0,0,0,0,0,0,0,0
ENSG00000244107.3|RN7SL250P,0,0,0,0,0,0,0,0
ENSG00000164736.5|SOX17,0,0,0,0,5,4,3,5
ENSG00000274310.1|AC091076.1,0,0,0,0,0,1,0,0
ENSG00000270275.1|TRMT112P7,0,0,0,0,0,0,0,0
ENSG00000104237.9|RP1,22,16,1,6,11,15,1,6
ENSG00000226098.4|SEC11B,0,0,0,0,0,0,0,0
ENSG00000253114.2|AC090151.1,0,0,0,0,0,0,0,0
ENSG00000206579.8|XKR4,3,2,1,2,3,5,2,4
ENSG00000253976.1|AC022679.2,0,0,0,0,0,0,0,0
ENSG00000253857.1|AC022679.1,0,0,0,0,0,0,0,0
ENSG00000248522.1|SBF1P1,0,0,0,0,0,0,0,1
ENSG00000254357.1|AC090200.1,0,0,0,0,0,0,0,0
ENSG00000167904.14|TMEM68,223,186,106,161,79,161,88,123
ENSG00000222955.1|RNA5SP265,0,0,0,0,0,0,0,0
ENSG00000137574.10|TGS1,247,288,122,158,288,294,145,213
ENSG00000254087.7|LYN,16,22,26,31,30,25,8,17
ENSG00000254325.2|AC018607.1,1,0,0,0,1,1,0,0
ENSG00000199405.1|SNORA1B,0,0,0,0,0,0,0,0
ENSG00000240905.3|RN7SL798P,1,0,1,0,1,1,1,1
ENSG00000241997.3|RN7SL323P,0,0,0,0,0,0,1,0
ENSG00000236814.1|AC046176.1,0,0,0,2,0,0,0,1
ENSG00000008988.9|RPS20,5477,5193,3489,5367,9311,5379,7901,3867
ENSG00000238650.1|SNORD54,0,0,0,1,0,0,0,0
ENSG00000253603.1|CERNA3,0,2,0,0,0,1,0,0
ENSG00000248578.1|NPM1P21,1,2,0,0,1,0,0,0
ENSG00000172680.1|MOS,1,0,0,0,0,0,0,0
ENSG00000221093.1|RF00334,0,0,0,0,0,0,0,0
ENSG00000181690.7|PLAG1,66,74,49,63,108,72,52,73
ENSG00000170791.17|CHCHD7,703,745,378,538,777,768,443,531
ENSG00000272343.1|AC107952.2,2,2,1,2,3,1,0,2
ENSG00000254216.1|AC107952.1,0,0,0,0,0,0,0,0
ENSG00000170786.12|SDR16C5,0,0,0,0,0,0,0,0
ENSG00000253542.7|SDR16C6P,0,0,0,0,0,0,0,0
ENSG00000181195.10|PENK,7,12,3,1,289,87,114,106
ENSG00000254254.5|AC012349.1,8,16,7,11,38,12,10,12
ENSG00000253541.1|SEPT10P1,0,0,0,0,0,0,0,0
ENSG00000246430.6|LINC00968,61,54,21,20,43,66,20,55
ENSG00000253139.1|AC013644.1,0,0,0,0,3,0,0,2
ENSG00000241431.1|RPL37P6,6,1,0,3,2,1,4,1
ENSG00000254055.1|AC009597.1,0,0,0,0,0,0,0,0
ENSG00000270328.1|AC009597.2,0,0,0,0,0,0,0,0
ENSG00000206975.1|RNU6-13P,0,0,0,0,0,0,1,0
ENSG00000104331.8|IMPAD1,297,285,368,545,408,183,188,293
ENSG00000222205.1|RNA5SP266,0,0,0,0,0,0,0,0
ENSG00000253301.5|LINC01606,1,0,2,8,2,0,1,2
ENSG00000251142.1|AC025674.1,0,0,1,0,0,0,0,0
ENSG00000253614.1|AC025674.2,0,0,3,2,0,1,1,1
ENSG00000215117.5|LINC00588,0,1,2,2,0,0,5,6
ENSG00000202265.1|RNU6-596P,0,0,0,0,0,0,0,0
ENSG00000253871.1|AC068075.1,0,0,1,2,0,0,0,0
ENSG00000243050.1|RPL30P10,0,0,0,0,0,0,0,1
ENSG00000253821.1|AC090796.1,5,4,2,1,1,0,0,0
ENSG00000253322.1|AC104051.1,0,0,0,0,0,0,0,0
ENSG00000254139.1|AC104051.2,4,7,0,3,5,2,2,0
ENSG00000205293.4|LINC01602,0,0,0,0,0,0,1,1
ENSG00000253376.1|AC012103.1,1,0,0,1,3,1,1,0
ENSG00000169122.11|FAM110B,622,707,469,696,229,420,162,278
ENSG00000253523.1|AC104350.1,0,0,1,3,1,0,0,0
ENSG00000253116.1|AC027698.1,4,6,1,6,4,0,2,0
ENSG00000242595.1|RPL26P26,0,0,0,0,0,2,0,0
ENSG00000253281.6|AC092819.1,0,0,0,0,0,0,0,0
ENSG00000215114.8|UBXN2B,331,342,415,609,134,206,261,376
ENSG00000250031.1|AC009927.1,4,0,0,2,3,0,1,0
ENSG00000167910.3|CYP7A1,0,0,0,1,0,0,0,0
ENSG00000254103.1|PPIAP85,0,0,0,0,1,0,0,0
ENSG00000137575.11|SDCBP,3274,3335,2044,2801,1834,2796,1422,1998
ENSG00000035681.8|NSMAF,757,821,327,517,542,808,446,657
ENSG00000242970.2|AC068522.1,0,0,2,3,0,0,0,4
ENSG00000198846.5|TOX,8,10,3,3,150,217,17,30
ENSG00000201231.1|RNU4-50P,0,0,0,0,0,0,0,0
ENSG00000254048.1|AC105150.1,0,0,0,0,1,1,0,0
ENSG00000167912.5|AC090152.1,1,1,2,4,73,68,13,22
ENSG00000206853.1|RF00432,0,0,0,0,0,0,0,0
ENSG00000201763.1|RNA5SP267,0,0,0,0,0,0,0,0
ENSG00000254150.1|AC087664.3,0,0,0,0,0,0,0,0
ENSG00000253260.1|AC087664.1,0,0,0,0,0,0,0,0
ENSG00000253879.1|AC087664.2,1,0,0,1,0,0,0,0
ENSG00000253413.1|AC107934.1,0,0,0,0,0,0,0,0
ENSG00000253723.1|AC107934.2,0,0,0,0,0,0,0,0
ENSG00000278428.1|AC022709.1,0,0,0,0,0,0,0,0
ENSG00000254775.1|AC021393.1,0,0,0,0,0,0,0,0
ENSG00000254954.1|SLC2A13P1,0,0,0,0,0,0,0,0
ENSG00000178538.9|CA8,0,3,0,2,0,1,0,0
ENSG00000251396.6|LINC01301,8,17,10,15,10,13,9,6
ENSG00000226301.3|PDCL3P1,0,0,0,0,0,0,0,0
ENSG00000104388.14|RAB2A,2469,2640,2095,3222,1575,2133,2130,2491
ENSG00000255321.1|AC068389.3,0,0,0,0,1,0,1,1
ENSG00000228862.4|AC068389.1,0,10,1,6,2,6,7,7
ENSG00000255289.1|AC068389.2,0,1,0,0,2,0,0,0
ENSG00000171316.11|CHD7,127,156,207,362,110,151,316,305
ENSG00000254432.1|AC113143.1,0,0,0,0,0,0,2,0
ENSG00000271377.1|AC113143.2,0,0,0,0,0,0,0,0
ENSG00000254777.5|AC022182.1,1,5,0,1,3,6,20,13
ENSG00000255397.1|AC022182.3,7,6,1,0,1,3,1,1
ENSG00000254802.1|AC022182.2,3,4,4,2,16,12,9,8
ENSG00000177182.10|CLVS1,0,3,0,1,3,2,10,5
ENSG00000213881.3|NPM1P6,0,1,1,1,0,3,1,2
ENSG00000254222.1|AC023866.2,0,0,0,0,0,0,0,0
ENSG00000253711.1|AC023866.1,0,0,0,0,0,0,0,0
ENSG00000198363.17|ASPH,4424,4791,2185,3025,3383,5511,2725,4700
ENSG00000254285.3|KRT8P3,1,3,2,2,9,6,4,1
ENSG00000222898.1|RN7SKP97,0,0,0,0,1,0,0,2
ENSG00000264408.1|MIR4470,0,0,0,0,0,1,0,1
ENSG00000251127.2|AC091173.1,0,2,0,0,1,0,3,0
ENSG00000254119.5|AC025524.2,0,1,0,0,0,0,0,0
ENSG00000253834.1|AC025524.1,0,0,0,0,0,0,0,0
ENSG00000254120.1|LINC02155,0,0,0,0,0,0,0,0
ENSG00000253544.1|C1GALT1P3,0,0,0,0,0,0,0,0
ENSG00000253789.1|NARSP2,0,0,0,0,0,0,0,0
ENSG00000237810.3|AC104852.1,0,1,0,0,1,0,0,0
ENSG00000285971.1|AC023095.1,21,18,0,0,32,34,0,1
ENSG00000185942.11|NKAIN3,45,40,4,5,63,41,4,5
ENSG00000254050.1|AC018861.2,0,1,0,0,2,0,0,0
ENSG00000253975.1|AC018861.1,0,0,0,0,0,0,0,0
ENSG00000253517.1|XRCC6P4,0,0,0,1,2,2,0,0
ENSG00000253431.1|SRPK2P,0,0,0,0,0,0,0,0
ENSG00000274956.2|NKAIN3-IT1,57,58,4,5,47,22,0,6
ENSG00000240915.2|AC120042.1,1,1,2,4,0,2,3,4
ENSG00000137563.11|GGH,1203,1297,425,591,796,1198,251,301
ENSG00000253121.1|AC120042.2,0,0,1,1,0,0,1,4
ENSG00000137561.4|TTPA,2,2,2,2,2,3,1,2
ENSG00000253555.1|AC011978.1,1,0,0,0,0,0,0,0
ENSG00000270673.1|YTHDF3-AS1,23,21,10,11,11,19,18,17
ENSG00000185728.16|YTHDF3,1751,1819,1640,2418,833,1260,519,1518
ENSG00000261542.1|AC011978.2,12,8,3,14,4,7,1,10
ENSG00000241964.3|RN7SL135P,0,0,0,0,0,0,0,0
ENSG00000253205.5|AC011124.1,0,0,0,0,0,0,1,0
ENSG00000215096.3|IFITM8P,0,0,0,0,0,0,0,0
ENSG00000253894.1|AC011124.2,0,0,0,1,0,0,0,0
ENSG00000253583.1|AC018953.1,1,0,1,1,1,0,0,0
ENSG00000252358.1|RN7SKP135,0,0,0,0,0,0,0,0
ENSG00000253554.6|AC022639.1,2,2,1,4,2,0,0,0
ENSG00000253762.1|AC069133.1,0,0,0,0,0,0,0,0
ENSG00000253734.1|LINC01289,0,0,0,1,0,1,2,1
ENSG00000253231.1|COX6CP8,0,0,0,0,0,0,0,0
ENSG00000254377.5|MIR124-2HG,0,0,0,0,0,0,0,0
ENSG00000207816.1|MIR124-2,0,0,0,0,0,0,0,0
ENSG00000253750.1|AC090136.1,0,0,0,0,0,0,0,0
