,Control_78_Day_0_Rep3,Control_78_Day_0_Rep4,Control_78_Day_3_Rep1,Control_78_Day_3_Rep2,FSHD2_19_Day_0_Rep1,FSHD2_19_Day_0_Rep2,FSHD2_19_Day_3_Rep1,FSHD2_19_Day_3_Rep2
ENSG00000284740.1|AL645728.2,3,3,3,6,4,5,8,6
ENSG00000197785.13|ATAD3A,270,355,260,381,803,535,417,541
ENSG00000205090.8|TMEM240,0,0,1,0,7,3,2,0
ENSG00000160075.11|SSU72,929,1020,723,1045,903,808,910,1036
ENSG00000215014.5|AL645728.1,11,18,8,18,10,6,21,10
ENSG00000274481.1|AL691432.3,0,0,0,0,0,0,0,0
ENSG00000228594.3|FNDC10,3,3,2,1,36,13,0,3
ENSG00000272106.1|AL691432.2,14,11,35,61,34,23,84,112
ENSG00000197530.12|MIB2,19,32,32,45,206,126,293,312
ENSG00000189409.13|MMP23B,0,0,0,1,2,3,10,14
ENSG00000248333.8|CDK11B,324,301,257,390,460,366,313,301
ENSG00000272004.1|FO704657.1,0,0,0,6,0,0,2,2
ENSG00000189339.11|SLC35E2B,480,487,256,396,350,511,257,364
ENSG00000269737.2|AL691432.1,0,1,1,2,0,1,3,4
ENSG00000215914.4|MMP23A,0,0,1,2,0,0,0,0
ENSG00000008128.22|CDK11A,136,90,86,142,140,127,80,142
ENSG00000268575.1|AL031282.2,77,67,30,69,56,74,42,47
ENSG00000227775.3|AL031282.1,2,5,3,1,1,3,0,8
ENSG00000215790.7|SLC35E2A,310,340,183,333,249,311,216,253
ENSG00000008130.15|NADK,254,263,106,131,423,281,270,308
ENSG00000078369.17|GNB1,845,882,540,777,1480,723,571,503
ENSG00000231050.1|AL109917.1,3,2,1,6,5,2,3,3
ENSG00000169885.9|CALML6,0,0,0,0,0,1,0,0
ENSG00000178821.12|TMEM52,1,1,2,2,6,4,7,7
ENSG00000142609.18|CFAP74,3,2,14,15,9,5,8,12
ENSG00000233542.1|AL391845.2,1,2,0,2,0,3,2,2
ENSG00000187730.8|GABRD,5,2,5,7,5,5,1,0
ENSG00000226969.1|AL391845.1,0,0,0,0,0,0,0,0
ENSG00000067606.16|PRKCZ,3,4,1,0,1,9,11,2
ENSG00000271806.1|AL590822.2,1,2,5,11,7,3,4,6
ENSG00000182873.5|PRKCZ-AS1,2,4,2,3,2,2,6,8
ENSG00000162585.16|FAAP20,325,379,324,528,959,711,779,798
ENSG00000234396.3|AL590822.1,0,0,0,0,0,0,0,0
ENSG00000157933.9|SKI,62,54,39,72,332,157,81,138
ENSG00000116151.13|MORN1,46,61,54,76,44,63,118,102
ENSG00000272161.1|AL589739.1,1,1,0,0,0,0,1,0
ENSG00000269896.2|AL513477.1,1,7,7,13,3,2,5,15
ENSG00000272420.1|AL513477.2,0,1,2,2,4,4,1,6
ENSG00000157916.19|RER1,2517,2812,1924,2599,2288,2486,1982,2036
ENSG00000157911.10|PEX10,465,562,510,772,579,699,673,658
ENSG00000149527.17|PLCH2,0,0,3,6,7,6,68,67
ENSG00000224387.1|AL139246.1,0,0,0,0,0,0,3,2
ENSG00000229393.1|AL139246.4,0,0,0,1,0,0,2,5
ENSG00000157881.13|PANK4,279,296,368,514,270,322,307,382
ENSG00000197921.5|HES5,0,0,2,1,1,0,0,1
ENSG00000272449.2|AL139246.5,0,0,0,0,4,0,3,0
ENSG00000238164.6|TNFRSF14-AS1,2,0,2,0,1,3,0,1
ENSG00000157873.17|TNFRSF14,15,22,23,24,59,93,55,42
ENSG00000225931.3|AL139246.2,0,0,0,0,0,0,0,0
ENSG00000228037.1|AL139246.3,0,0,0,0,0,0,0,0
ENSG00000157870.15|PRXL2B,510,509,313,415,828,761,306,364
ENSG00000142606.15|MMEL1,0,1,0,3,7,6,4,2
ENSG00000237058.1|AL831784.1,0,0,0,0,0,0,0,0
ENSG00000215912.12|TTC34,4,1,1,3,9,1,9,1
ENSG00000285945.1|AC242022.2,0,1,0,0,0,0,0,0
ENSG00000283259.1|AC242022.1,0,0,0,0,0,0,0,0
ENSG00000233234.1|AL592464.2,0,0,0,0,0,0,0,0
ENSG00000231630.1|AL592464.1,0,0,0,0,0,0,0,0
ENSG00000284745.1|AL589702.1,0,0,0,0,0,0,0,0
ENSG00000169717.6|ACTRT2,0,0,0,0,0,0,0,0
ENSG00000177133.10|LINC00982,0,3,1,0,8,1,1,1
ENSG00000142611.16|PRDM16,36,34,10,9,114,125,13,36
ENSG00000283572.1|MIR4251,0,0,0,0,0,0,0,0
ENSG00000226286.1|AL008733.1,0,0,0,0,0,0,0,0
ENSG00000279839.1|AL512383.1,1,0,0,1,3,0,2,0
ENSG00000272235.1|AL590438.1,13,6,1,0,4,3,0,1
ENSG00000130762.14|ARHGEF16,0,0,0,0,0,0,1,1
ENSG00000272088.1|AL512413.1,0,0,1,0,0,0,0,0
ENSG00000162591.15|MEGF6,4,2,16,14,27,18,128,98
ENSG00000207776.1|MIR551A,0,0,0,0,0,0,0,0
ENSG00000238260.1|AL513320.1,0,0,0,0,2,0,0,1
ENSG00000158109.14|TPRG1L,78,73,83,115,308,87,142,162
ENSG00000116213.15|WRAP73,294,307,258,332,314,331,368,332
ENSG00000078900.14|TP73,2,13,8,12,10,15,14,12
ENSG00000227589.1|AL136528.1,1,1,1,2,0,1,2,1
ENSG00000235131.1|AL136528.2,0,0,0,0,0,0,0,0
ENSG00000227372.12|TP73-AS1,84,127,103,297,156,219,143,209
ENSG00000276189.1|RF02197,0,0,1,0,0,0,0,0
ENSG00000162592.9|CCDC27,0,0,1,4,0,0,2,1
ENSG00000235169.8|SMIM1,0,0,0,0,2,0,0,1
ENSG00000130764.9|LRRC47,396,392,404,733,625,472,687,1107
ENSG00000266075.2|RN7SL574P,0,0,1,0,1,0,0,0
ENSG00000272153.1|AL365330.1,0,2,1,3,1,0,1,2
ENSG00000116198.12|CEP104,102,91,84,139,229,166,138,240
ENSG00000169598.15|DFFB,55,101,35,42,41,94,54,81
ENSG00000198912.10|C1orf174,424,465,315,487,430,481,322,372
ENSG00000236423.5|LINC01134,6,8,11,16,5,6,22,15
ENSG00000233304.6|LINC01346,0,0,0,3,0,0,3,2
ENSG00000226374.2|LINC01345,0,0,0,1,0,0,0,0
ENSG00000284668.1|AL805961.1,1,1,1,2,1,0,2,4
ENSG00000284703.1|AL805961.2,3,1,0,2,6,4,5,5
ENSG00000229280.1|EEF1DP6,0,0,0,0,0,0,0,0
ENSG00000235054.3|LINC01777,0,0,0,0,0,0,0,0
ENSG00000284694.1|AL355602.1,0,0,0,1,1,1,0,0
ENSG00000227169.2|Z98747.1,0,0,0,0,0,0,0,0
ENSG00000232596.2|LINC01646,0,0,0,0,0,0,0,0
ENSG00000196581.10|AJAP1,0,0,0,0,0,0,0,0
ENSG00000284739.1|BX005132.2,0,0,0,0,0,0,0,0
