gene_name,Control-1 Day 3 Rep 1,Control-1 Day 3 Rep 2,Control-1 Day 5 Rep 1,Control-1 Day 5 Rep 2,FSHD2-1 Day 3 Rep 1,FSHD2-1 Day 3 Rep 2,FSHD2-1 Day 5 Rep 1,FSHD2-1 Day 5 Rep 2
RNU6-115P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNA5SP475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL121584.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSAP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPIAP17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIF16B,239.99941,301.9997,298.9996,265.99973,330.99930000000006,271.99983000000003,309.99992999999995,349.99970999999994
AL049794.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL049794.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPLP0P1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
RF00019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL135938.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL034428.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNRPB2,999.9351,1077.0,925.99952,852.9081,1277.0005,1025.0005,902.99968,1016.0007
OTOR,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
AL121892.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNU6-27P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL359511.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNU1-131P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCSK2,4.02359,4.05121,2.99999487,5.04106,5.17141,11.26052,16.09174,15.0
DYNLT3P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BFSP1,18.9999908,17.00001548,22.99996492,17.0,24.018500000000003,22.0,22.000010680000003,33.00002
RPS27AP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03322
AL132765.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DSTN,9224.942,9105.473,8597.496,8762.591999999999,8467.908,8258.273,7333.746,8238.656
RN7SKP69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL132765.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
RRBP1,640.99963,675.00069,476.99958,584.0965900000001,948.05273,1066.00038,879.9993499999999,939.9994000000002
BANF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL035045.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNU6-192P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNX5,765.2161899999999,751.6853099999998,524.4376100000001,598.3877200000001,826.3060650000001,755.0910802581432,564.5147571869202,606.892379
OVOL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNORD17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGME1,314.0002,361.9997,216.9995,227.00042,264.0,212.00044,169.00029000000004,176.9999
PTMAP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL160411.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL15P1,0.0,0.0,1.00012,2.0,0.0,0.0,0.0,1.00015
