gene_name,TC_M_43_1,TC_M_43_2,TC_F_21_1,ATC_M_43_2,ATC_M_43_1,ATC_F_21_3,ATC_F_21_4,ATC_F_21_1,ATC_F_21_2
MS4A6A,9.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
MS4A4A,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0
ST3GAL4,70.0,66.0,33.0,236.0,217.0,238.0,237.0,249.0,205.0
CPT1A,757.0,804.0,884.0,1392.0,1169.0,1815.0,1810.0,1730.0,1644.0
CCND1,42.0,31.0,21.0,61.0,72.0,47.0,53.0,29.0,40.0
CCDC86,195.0,198.0,198.0,404.0,391.0,562.0,584.0,524.0,446.0
PRPF19,1267.0,1251.0,1148.0,3760.0,3221.0,4456.0,4735.0,4412.0,3932.0
TMEM109,942.0,835.0,736.0,1273.0,1060.0,1306.0,1336.0,1275.0,1118.0
CCKBR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPX,14.0,11.0,16.0,11.0,10.0,11.0,13.0,23.0,19.0
TRIM3,275.0,232.0,241.0,193.0,148.0,184.0,177.0,189.0,176.0
CHORDC1,1743.23,1866.94,1772.65,1382.43,1261.95,1303.8,1485.43,1271.65,1256.03
FOLR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANAPC15,249.0,245.0,249.0,484.0,369.0,576.0,604.0,575.0,499.0
FOLR3,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
PANX1,180.0,210.0,204.0,486.0,401.0,346.0,370.0,277.0,327.0
ARHGEF17,10.0,13.0,16.0,5.0,8.0,12.0,8.0,11.0,1.0
APOA5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOA4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
APOC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEP164,1145.0,1138.0,834.0,1243.0,1001.0,1102.0,1269.0,1135.0,984.0
RNF141,303.97,289.0,280.0,572.0,400.0,551.0,549.0,530.0,508.0
CEP126,103.0,112.0,80.0,99.0,92.0,103.0,149.0,123.0,113.0
EIF4G2,16750.74,16324.05,14582.96,20976.3,18355.25,18808.3,20066.18,18703.67,16650.18
IL10RA,8959.0,9196.0,5402.0,4797.0,4279.0,2515.0,2715.0,2512.0,2336.0
GALNT18,5.0,2.0,0.0,77.0,59.0,77.0,77.0,71.0,62.0
BIRC2,1976.0,2089.0,2075.0,1751.0,1541.0,1462.0,1442.0,1389.0,1358.0
UBE4A,2173.0,2126.0,2098.0,3736.0,3154.0,3362.0,3591.0,3302.0,3162.0
DDX6,10468.0,9886.0,10255.0,13708.0,11823.0,14222.0,14907.0,13573.0,12233.0
UPK2,4.0,2.0,0.0,6.0,8.0,12.0,13.0,8.0,7.0
CBL,3359.0,3260.0,3294.0,5276.0,4598.0,5554.0,5936.0,5456.0,5108.0
NECTIN1,86.0,78.0,57.0,115.0,109.0,100.0,103.0,90.0,79.0
HIPK3,3166.0,2775.0,2049.0,2509.0,2211.0,2121.0,2193.0,1995.0,1849.0
